index,comments,score
25,质量不好，有时候会有卡顿，而且不好看,1
25,耗电很快，而且玩个游戏发烫的厉害，贼烫，无比烫，啥意思，还没荣耀一半好,1
25,屏幕失灵，手机自己给中国移动打电话，一直停留在电话页面，还自动播放铃声,1
25,电量用得很快，指纹解锁不灵敏，操作不够流畅，京东直营，晚上8点下单，第三天才到货,1
25,外观还可以。电池会发烫，也不禁用。手机别的功能暂时还不知道。等我用一段时间在来评论。,1
25,没有快充可以理解，一个充电器没有是不是有点太过分了？,1
25,交国产税了，华为nb！更新系统以后一天重启4-5次，用的心烦,1
25,"好的没学会,坏的学的挺快  你好歹也送个数据线呀  啥都没有   包装也很劣质",1
26,我作为一名消费者来说，不可能去问商品是否有数据线以及充电器耳机等手机配备物品，如没有，看能不能提前告知?,1
26,买回来用一会就发热，还没有送充电器，第一晚充电充了12小时，期间还出现越充越少的现象,1
26,手机是不错，但有一点没想明白买手机不给配充电器吗，这是不是商家的一种营销手段啊，那我以后卖车我就不给带轮胎了,1
26,差评，服务态度不好，质量差的不能再差了七十元的东西还没有十元的东西好，差评哪哪都差没有好的地方以后再也不在这家买东西了,1
26,1、商品收到后外包装完好\n2、开机运行十天之后，系统出现崩盘情况，联系客服无果\n3、进到线下华为官方授权服务中心检测之后，确定为手机系统自身问题，由华为授权服务中心进行换货处理，换货后的手机目前运行正常（目前第一天）,1
26,商品首页完全没有提没有专门的耳机孔，还要我自己掏钱又买一个转换器才能用，还要屏幕是曲面屏的，不太好用，但是商品首页也完全没有提,1
26,刚买的就有问题，说是全网通，结果电信4G不能用，拿去客服中心检测，说是需要更换主板，真的不知道是不是新机,1
26,十分耗电，不知道是手机电池有问题还是就是这样，才用几天而已的新机,1
26,前置摄像头上面有一条大缝，没有胶，里面挺脏的，是不是翻新机？要求商家给一个合理的答复和解决方案,1
26,昨天下单，今天送到了，京东的物流还是可以的，但是我开箱出来这手机都装满了软件，电话短信都打过了，欺骗消费者？我买的可是新机,1
27,其他还好，就是一直提示卫星定位信号差，因为经常用到导航，每次用就一直提示卫星定位信号差，搞的很烦。,1
27,手机还没用，打开了发现不但没有充电器，连线都没有。充电器加上线199，不建议大家买。,1
27,发货挺快，手机用着还行！但是承诺的充电器现在也没有发货！属于有点@！问客服说是没货！也是醉了！,1
27,买手机居然不带充电器，后续放映过后，专员处理速度慢，手机充电兼容性差，店家套路深，补发充电器没有，买就有。,1
27,耗电快 充满后几小时就只剩百分之四十 之前用的nova4一整天都不会这样,1
27,根本就不是nova9的钢化膜，小一圈，贴完四周有白边，中间有空鼓，指纹解锁不好用，欺诈消费者。,1
27,电池不行，还没有我用几年的老手机用的时间长，用几分钟机身发热，保修卡没有销售公司盖章,1
27,买个手机不配充电器，那我买你手机有什么用！,1
27,买过这么多手机第一次遇见没有配充电器的，我也是醉了！！！！！,1
27,不说手机好不好，买手机是赠品充电器显示无货，说10工作日补发充电器，10个工作日，14个自然日发不出来。中间还问过两次,1
28,用了一段时间后回来评价，手机一边用~听书，一边玩@@，一小会手机就发烫。上台手机是荣耀9（当时荣耀还是华为旗下），同样的玩法就没事。,1
28,新机一天要充两次电，充满电玩几个钟就没电了，都没有看视频。想要换货退回去检测，又说没有问题，又给我退回来,1
28,6月17号买的，当时还问了客服618会不会更划算，客服说优惠是一样的，所以就买了，当时用了学生优惠。结果18号有50元优惠券，现在25号又有满880-100的优惠券，下单2599-100（优惠券）再用学生优惠100元，到手价2399元，可惜学生优惠只能用一次。,1
28,标配没有都充电器，充电器需要另外购买，请一定看清楚再购买。,1
28,一周内第二次退货了，前一个是屏幕上半部分不灵敏，退货重买。这个是死机无法重启。家里五年来都在用华为手机，第一次遇到这种情况！,1
28,手机没问题，性能给老人用的不错了，但是把充电器给环保了也是够让人无语的，让人生气，关键还没法选择有充电器版本。。。。。。@,1
28,等了三天结果没有手机充电线，不仔细看都不知道不包括充电线和耳机，还得单独再买再等，下次再购买东西时可得看仔细了，研究一小时再决定下不下单,1
28,手机是个好手机，用户体验差评，出厂不带耳机、充电器，买了个板砖！至此对华为的这个服务很不满意，谢谢。同配置其它手机不仅比它便宜还可自由选择配件，关键价格不变，人性化这点做的到位。对于华为以后买电子产品还是注重性价比，买情怀是给自己找不愉快。京东服务还是非常赞?的！！！,1
28,怎么说呢，感觉这次的华为手机做的不怎么样\n我拿来玩游戏，玩到吱吱的声音\n我就不敢玩了\n怕炸了\n哎,1
28,不是很好用 开机指纹识别不灵活  网络比较卡  之前买的华为n7 se都比它好用  还是比较看好华为 但这个型号手机真不好用,1
29,开机后没有连充电器，页面却显示正在充电中&hellip;&hellip;抛却情怀，购机须谨慎啊！已退,1
29,体验感不好，电用完了没充起电，然后到他们服务中心强制充电的，要单独买原装充电器,1
29,"没有充电器,人家几百块的手机都送了充电器，你呢，以为你起个爱国的名字就有人帮你买单嘛！",1
29,开机就黑屏，卡屏，点开app的瞬间就黑屏，使用感受较差。这不是华为应该的表现，有点奇怪。,1
29,京东自营极速达居然三天才到货。当天早上九点多下单，第二天才发货，第三天才到。不是上午下单当天到的么。而且收到的东西比下单时候少。少了充电器。无奈之前没截屏所以没证据。之前买过护肤品就有收到跟描述不一致，那次是有截图所以给退货了。这次只能吃哑巴亏了。建议小伙伴下单时一定要截图商品主页,1
29,刚刚打开快递，看见盒子，感觉像是二手的，结果手机取出来，膜也有问题，指纹是自己的 拍摄不出来，但是有问题,1
29,充电器都不带 我不知道是个什么情况 要不就提前都写明白了 本来就疫情等了半个多月 到了没有充电器 苹果模式吗？ 退费,1
29,电池不行，服了，一晚上啥都不用，30%的电直接给我整关机，还是省电模式下，后悔惨了，后续没买的自己谨慎点,1
29,千万别在这买，啥都不送，就一部手机，在实体店买也是这个价，送原装充电器充电线，原装的单买还得两百块呢。要不是第一次买华为手机，不知道原装充电器那么贵，这都拆封开机了也不能退，问销售也是个电脑人&hellip;&hellip;不说了，冤种俩字写脸上了。,1
29,买手机竟然没有配充电器，奇葩，华为这样做事，任总他知道吗？,1
30,这手机要不是2G网，要不是触摸不灵敏，各方面的小问题太多了，这么多评价，不会全是水军把。,1
30,我都要怀疑这个手机是不是原装的了！早上充满的电，上班都没怎么样，下班的时候就剩20电量！发来的时候手机也不是密封的，就贴了两红色封条！华为大厂连个密封包装都包不起？,1
